
-------------------------------------------------------------------------

   Type    File   Event 
      0       86      49
      1       87       1
      5       87       1
      2       87       3
      0       87       6
      5       87       8
      8       87       8
      2       87      10
      0       87      13
      2       87      18
      0       87      21
      3       87      24
      0       87      29
      2       87      34
      0       87      39
      0       87      47
      0       87      48
      3       88       6
      2       88      10
      4       88      10
      2       88      13
      0       88      26
      1       88      29
      5       88      29
      1       88      31
      2       88      35
      4       88      35
      5       88      36
      2       88      37
      4       88      40
      7       88      40
      2       88      42
      2       88      45
      4       88      45
      5       88      47
      0       89       6
      2       89       7
      3       89       9
      2       89      10
      2       89      11
      4       89      11
      1       89      15
      5       89      15
      0       89      16
      0       89      17
      0       89      19
      0       89      21
      2       89      23
      2       89      27
      8       89      31
      5       89      34
      2       89      39
      4       89      39
      0       90       4
      2       90       7
      0       90       9
      1       90      12
      5       90      12
      2       90      15
      4       90      15
      2       90      18
      4       90      18
      7       90      20
      1       90      28
      0       90      32
      8       90      33
      2       90      34
      4       90      34
      2       90      37
      1       90      38
      1       90      39
      5       90      39
      1       90      40
      5       90      42
      0       90      43
      4       90      44
      8       90      44
      2       90      46
      4       90      46
      2       90      47
      0       91      11
      0       91      15
      2       91      18
      4       91      20
      6       91      20
      0       91      25
      5       91      28
      8       91      28
      0       91      41
      2       91      42
      2       91      44
      0       91      46
      1       92       1
      5       92       1
      3       92       3
      2       92      10
      2       92      14
      4       92      14
      2       92      16
      4       92      16
      2       92      25
      0       92      36
      0       92      37
      2       92      43
      4       92      43
      2       92      44
      2       92      50
      4       92      50
      1       93       3
      5       93       3
      6       93       9
      2       93      18
      4       93      18
      1       93      20
      5       93      20
      1       93      22
      0       93      24
      0       93      32
      2       93      36
      0       93      37
      5       93      38
      7       93      38
      1       93      41
      2       93      42
      1       93      44
      5       93      44
      3       93      49
      7       93      49
      2       93      50
      2       94       3
      2       94      16
      2       94      18
      1       94      19
      0       94      25
      0       94      27
      0       94      28
      0       94      37
      0       94      43
      2       94      50
      2       95       2
      2       95       3
      4       95       3
      0       95       7
      1       95      14
      5       95      14
      0       95      15
      2       95      19
      2       95      20
      2       95      27
      5       95      31
      1       95      43
      8       95      43
      1       95      47
      1       95      48
      5       96       2
      8       96       2
      0       96       3
      0       96       5
      0       96       6
      1       96       9
      5       96       9
      1       96      10
      5       96      10
      1       96      12
      0       96      15
      2       96      18
      4       96      18
      3       96      25
      4       96      27
      6       96      27
      2       96      29
      0       96      30
      4       96      33
      8       96      33
      2       96      34
      4       96      34
      0       96      40
      5       96      43
      1       96      47
      5       96      47
      2       96      50
      5       97       2
      0       97       7
      9       97      11
      3       97      11
      7       97      11
      2       97      16
      2       97      17
      6       97      19
      4       97      21
      0       97      22
      0       97      23
      5       97      27
